Serial;Modelo;id_marca;id_tipo
USA3YKA22100997;Bixolom SPP-210;1;1
USA3YKA22101219;Bixolom SPP-210;1;1
USA3YKA22101064;Bixolom SPP-210;1;1
USA3YKA22101063;Bixolom SPP-210;1;1
USA3YKA22101058;Bixolom SPP-210;1;1
USA3YKA22101057;Bixolom SPP-210;1;1
USA3YKA22101061;Bixolom SPP-210;1;1
USA3YKA22101062;Bixolom SPP-210;1;1
USA3YKA22101065;Bixolom SPP-210;1;1
USA3YKA22102065;Bixolom SPP-210;1;1
USA3YKA22102066;Bixolom SPP-210;1;1
USA3YKA33101060;Bixolom SPP-210;1;1
USA3YKA22101118;Bixolom SPP-210;1;1
USA3YKA22100998;Bixolom SPP-210;1;1
USA3YKA22100999;Bixolom SPP-210;1;1
USA3YKA22101000;Bixolom SPP-210;1;1
USA3YKA22101001;Bixolom SPP-210;1;1
USA3YKA22101005;Bixolom SPP-210;1;1
USA3YKA22101004;Bixolom SPP-210;1;1
USA3YKA22101215;Bixolom SPP-210;1;1
USA3YKA22101214;Bixolom SPP-210;1;1
USA3YKA22101216;Bixolom SPP-210;1;1
USA3YKA22101220;Bixolom SPP-210;1;1
USA3YKA22101221;Bixolom SPP-210;1;1
USA3YKA22101224;Bixolom SPP-210;1;1
USA3YKA22102068;Bixolom SPP-210;1;1
USA3YKA22102071;Bixolom SPP-210;1;1
USA3YKA22102075;Bixolom SPP-210;1;1
USA3YKA22101299;Bixolom SPP-210;1;1
USA3YKA22101300;Bixolom SPP-210;1;1
USA3YKA22101303;Bixolom SPP-210;1;1
USA3YKA22101305;Bixolom SPP-210;1;1
USA3YKA22101074;Bixolom SPP-210;1;1
USA3YKA22100952;Bixolom SPP-210;1;1
